seed,param,cos_A_pre,cos_B_pre,cos_A_B,relL2_A_pre
4,transformer.layers.1.linear2.bias,0.0572,0.0199,-0.0039,2.6965
4,transformer.layers.1.norm1.weight,0.9244,0.9187,0.9512,0.6788
4,transformer.layers.1.norm1.bias,0.7499,-0.1141,-0.1012,0.6859
4,transformer.layers.1.norm2.weight,0.9804,0.9394,0.9459,0.4613
4,transformer.layers.1.norm2.bias,0.8876,0.0287,0.0429,0.6320
4,transformer.layers.2.self_attn.in_proj_weight,0.4287,-0.0011,0.0009,1.1425
4,transformer.layers.2.self_attn.in_proj_bias,0.5629,-0.0994,-0.0400,0.9179
4,transformer.layers.2.self_attn.out_proj.weight,0.3940,-0.0033,0.0009,1.4607
4,transformer.layers.2.self_attn.out_proj.bias,0.6138,0.0071,0.0369,0.7905
4,transformer.layers.2.linear1.weight,0.6524,0.0047,0.0028,0.7808
4,transformer.layers.2.linear1.bias,0.8359,0.6915,0.6521,0.5495
4,transformer.layers.2.linear2.weight,0.4231,0.0005,-0.0038,1.1190
4,transformer.layers.2.linear2.bias,0.0902,-0.0406,-0.0302,2.7096
4,transformer.layers.2.norm1.weight,0.9673,0.9533,0.9710,0.2554
4,transformer.layers.2.norm1.bias,0.6294,-0.0890,-0.0369,0.7968
4,transformer.layers.2.norm2.weight,0.9856,0.9720,0.9713,0.4296
4,transformer.layers.2.norm2.bias,0.9440,0.0061,0.0023,0.4992
4,transformer.layers.3.self_attn.in_proj_weight,0.4905,-0.0050,-0.0021,1.0050
4,transformer.layers.3.self_attn.in_proj_bias,0.6093,0.0370,0.0594,0.7964
4,transformer.layers.3.self_attn.out_proj.weight,0.4561,-0.0074,-0.0048,1.1857
4,transformer.layers.3.self_attn.out_proj.bias,0.2467,0.0210,0.0149,1.2885
4,transformer.layers.3.linear1.weight,0.6299,0.0015,-0.0041,0.8095
4,transformer.layers.3.linear1.bias,0.8439,0.7678,0.7229,0.5372
